index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
5702,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.997804,0.99555,0.859375,0.918351,0.859375,0.982786,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
5703,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.582972,0.589436,0.521511,0.583234,0.597176,0.591777,1.0,1.0,0.9858,0.8050020899199999,0.87997963294,0.999999326429,32.932734377
5704,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.568114,0.593595,0.589711,0.597176,0.595404,0.582386,0.76053282462,0.7629,1.0,0.87997963294,1.0,1.0,32.932734377
5705,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.974818,0.997289,0.986277,0.987636,0.997804,0.991934,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
5706,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.973847,0.997289,0.8775,0.991211,0.962218,0.997804,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
5707,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.973847,0.974576,0.962218,0.997289,0.974576,0.99555,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
5708,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.993382,0.959914,0.993382,0.944186,0.99555,0.993382,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
5709,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.974135,0.949756,0.888568,0.96466,0.949756,0.964211,0.104526936418,0.6073,1.0,0.41169999999999995,0.6073,1.0,33.127428251
5710,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.933118,0.939935,0.961777,0.961777,0.9609,0.967016,1.0,0.97043514863,1.0,1.0,0.5162,0.9881,33.127428251
5711,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.954951,0.937114,0.966982,0.963534,0.962036,0.964211,0.9623,1.0,1.0,1.0,1.0,1.0,33.127428251
5712,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.956628,0.955505,0.978542,0.991211,0.974818,0.982786,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
