index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
2396,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.386926,0.988182,0.8717,0.992204,0.8717,0.985711,0.17923438295000002,1.0,1.0,1.0,1.0,1.0,5.0964233254
2397,2,2,3,0,-1,-1,-1,-1,5.75369,11.2749,11.2749,11.2749,11.2749,11.2749,0.982786,0.988582,0.974342,0.992512,0.971366,0.987684,1.0,1.0,1.0,0.9509661029400001,0.9228000000000001,0.9069435453508,5.8972721655
2398,5,1,1,4,2,-1,3,-1,6.12595,10.7133,13.8584,13.8584,23.231,23.231,0.386926,0.874069,0.502577,0.513248,0.99555,0.973847,0.17923438295000002,0.77525480872,0.99995616525,0.5521,1.0,1.0,4.246217436
2399,2,2,1,2,-1,-1,-1,-1,5.6423,10.505,10.505,10.505,10.505,10.505,0.776183,0.899982,0.894873,0.891976,0.837451,0.839433,0.26438418609000003,0.8024,0.4054,0.9999992635199999,1.0,0.998,5.139899113
2400,4,1,0,3,1,-1,-1,-1,6.12595,16.2848,20.5083,20.5083,20.5083,20.5083,0.107856,0.534356,0.848306,0.833344,0.726273,0.833344,0.44845452165,0.77727620153,0.72438106117,0.9999,0.9544999999999999,0.9999,3.8834807444
2401,6,1,0,2,3,1,-1,-1,6.12595,9.33853,18.7111,22.5415,22.5415,22.5415,0.115994,0.256416,0.140904,0.99555,0.987636,0.959922,0.99537169284,0.9949147831,0.9945316718699999,1.0,0.9999983405399999,0.9998,3.4564218772
2402,6,1,1,2,3,4,0,0,6.12595,9.33853,18.7111,23.231,26.7355,26.7355,0.392277,0.561035,0.796604,0.987636,0.922942,0.919494,0.2341,0.84085548386,0.5775,1.0,1.0,0.9836,4.5799892939
2403,6,1,1,-1,-1,-1,0,3,6.12595,6.12595,6.12595,6.12595,11.4656,20.5083,0.359214,0.392277,0.39269,0.350998,0.988721,0.937577,1.0,0.2341,0.9996886386799999,0.33849999999999997,0.8117000000000001,1.0,3.4214774205
2404,6,1,0,-1,-1,1,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.115695,0.0794962,0.105815,0.859454,0.866462,0.786832,0.4290668332,0.7884,0.4514,0.84860357934,0.89727615637,0.9871,2.813754068
2405,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.8775,0.959914,0.973847,0.99555,0.973847,0.987636,1.0,1.0,1.0,1.0,1.0,1.0,5.7682945824
2406,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396772,0.987991,0.950905,0.978186,0.988721,0.981472,0.1738,0.8441857173799999,1.0,1.0,0.8117000000000001,1.0,5.2840472321
2407,5,1,1,0,2,4,-1,-1,6.12595,11.4656,14.285,18.4791,18.4791,18.4791,0.392277,0.992245,0.959136,0.819472,0.828881,0.813842,0.2341,0.89042334077,1.0,1.0,1.0,1.0,4.8058531604
2408,6,1,2,-1,0,3,1,4,4.32456,4.32456,9.33853,18.7111,22.5415,26.7355,0.317555,0.358431,0.159378,0.14484,0.978542,0.992881,0.9898,0.187563640305,0.8290270149800001,0.9992415665800001,1.0,1.0,2.951627328
2409,6,2,3,-1,2,-1,-1,1,5.75369,5.75369,10.6473,10.6473,10.6473,15.433,0.985572,0.985572,0.613786,0.615536,0.545827,0.986277,1.0,1.0,1.0,1.0,0.9954000000000001,1.0,4.7325694614
2410,5,1,2,1,0,-1,4,-1,4.32456,9.33853,14.285,14.285,18.4791,18.4791,0.357988,0.538081,0.974925,0.976649,0.863092,0.844814,0.2812,1.0,0.5021,0.41591137556,0.607,0.9661000000000001,4.5555491426
2411,6,1,0,1,4,-1,-1,2,6.12595,11.4656,15.6597,15.6597,15.6597,18.4791,0.0732855,0.838075,0.982786,0.997804,0.997804,0.827282,0.4042,0.6793,1.0,1.0,1.0,0.999999671662,4.7170363115
2412,6,1,2,-1,-1,0,3,4,4.32456,4.32456,4.32456,9.33853,18.7111,23.231,0.358431,0.360745,0.328056,0.189035,0.145952,0.823412,0.18756364031,0.2295279275,0.326,0.98326920793,0.38240297153799996,0.9999,2.2056310601
2413,4,1,0,-1,4,1,-1,-1,6.12595,6.12595,10.7133,15.6597,15.6597,15.6597,0.0794962,0.105815,0.21269,0.970465,0.982169,0.952228,0.7884,0.4514,0.9997600788100001,0.9802,0.9794,1.0,3.3028626582
2414,5,1,0,3,-1,-1,1,-1,6.12595,16.2848,16.2848,16.2848,20.5083,20.5083,0.105815,0.531216,0.534213,0.539165,0.780254,0.835281,0.4514,0.1215,0.7204611624699999,0.6525,0.6167,0.999796140313,3.3259448297
2415,4,1,1,0,3,2,-1,-1,6.12595,11.4656,20.5083,22.5415,22.5415,22.5415,0.370082,0.987991,0.913118,0.967424,0.8715,0.974798,0.96965882964,0.8441857173799999,1.0,0.9702999999999999,1.0,0.993452747216,5.0849121479
2416,6,1,0,1,4,2,-1,-1,6.12595,11.4656,15.6597,18.4791,18.4791,18.4791,0.105815,0.856859,0.992881,0.828314,0.830636,0.834381,0.4514,0.7196,1.0,0.46405153622999995,1.0,1.0,4.4488864089
2417,6,1,4,-1,0,1,-1,2,5.69944,5.69944,10.7133,15.6597,15.6597,18.4791,0.645994,0.634191,0.232586,0.987537,0.991211,0.676886,0.7832,0.2613,0.99997791437,0.99993342236,1.0,1.0,4.1684051946
2418,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.39265,0.993089,0.959558,0.950505,0.988182,0.985711,1.0,1.0,0.9016,1.0,1.0,1.0,5.2696959318
