index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
7796,6,1,1,0,-1,-1,-1,4,6.12595,11.4656,11.4656,11.4656,11.4656,15.6597,0.386535,0.94371,0.951305,0.950005,0.951305,0.973847,0.27790000000000004,0.9279,1.0,1.0,1.0,1.0,67.64808054
7797,6,1,2,-1,-1,1,-1,0,4.32456,4.32456,4.32456,9.33853,9.33853,14.285,0.320834,0.341991,0.335481,0.518856,0.545281,0.958813,0.329,0.3046,0.96397998077,0.62233372813,1.0,0.999279746186,45.935777804
7798,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,4.32456,9.33853,13.8584,18.4791,0.320834,0.341991,0.335481,0.518856,0.514381,0.912661,0.329,0.3046,0.96397998077,0.62233372813,1.0,0.9567873147,2.9442053329
7799,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,15.6597,15.6597,18.4791,18.4791,0.122678,0.22318,0.9807,0.989529,0.870323,0.856742,0.4576,0.93181389221,1.0,0.99571567704,0.87767125067,1.0,4.0431518477
7800,4,1,4,-1,-1,1,-1,-1,5.69944,5.69944,5.69944,10.7133,10.7133,10.7133,0.660034,0.649279,0.647072,0.870631,0.883072,0.8807,0.077596359516,0.7838999999999999,1.0,0.8339647460999999,1.0,1.0,49.238196159
7801,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,5.69944,16.9745,20.8722,20.8722,20.8722,0.660034,0.649279,0.617972,0.805528,0.796872,0.793106,0.077596359516,0.7838999999999999,1.0,0.30827884865669997,1.0,0.999633547212,4.3227910438
7802,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,9.33853,14.285,14.285,18.4791,18.4791,0.121472,0.247972,0.873686,0.8617,0.982356,0.9721,0.0246,1.0,0.3568,0.99998982311,0.554,1.0,4.0592858871
7803,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.3654,0.3734,0.9594,0.938415,0.9814,0.957762,0.99999874189,1.0,1.0,0.99972838731,1.0,0.9065,58.114329577
7804,3,1,4,-1,1,-1,-1,-1,5.69944,5.69944,10.7133,10.7133,10.7133,10.7133,0.654686,0.648288,0.815507,0.870631,0.848106,0.842486,0.1509,0.86584172888,0.7077,0.8339647460999999,0.9998784224599999,1.0,54.252049512
7805,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.782943,0.794209,0.735119,0.7918,0.75312,0.748786,0.48,0.99943553683,0.5574,0.46687512622,0.99017669523,1.0,4.605975563
7806,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,14.285,18.4791,26.7355,26.7355,0.371211,0.147634,0.911838,0.8643,0.981101,0.9955,0.11486597188,0.82212418028,0.9644905905200001,1.0,0.9888342882300001,1.0,4.271583844
7807,4,1,4,-1,-1,1,-1,-1,5.69944,5.69944,5.69944,10.7133,10.7133,10.7133,0.656401,0.6561,0.647072,0.894608,0.866,0.8832,0.055189876243,1.0,1.0,0.8069,0.99999431034,1.0,49.238196159
7808,5,1,4,-1,-1,1,-1,-1,5.69944,5.69944,5.69944,10.7133,10.7133,10.7133,0.620528,0.66072,0.610386,0.880053,0.817314,0.861,0.9995,0.91185821027,1.0,0.35559999999999997,0.9958,1.0,49.238196159
7809,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,5.69944,10.7133,15.6597,18.4791,18.4791,0.620528,0.66072,0.189408,0.944214,0.663082,0.6946,0.9995,0.91185821027,0.9799,0.9995,0.8214999999999999,1.0,3.7725512636
7810,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.342309,0.9901,0.986711,0.950005,0.973542,0.938415,0.996,1.0,1.0,1.0,1.0,0.999728387307,63.453992894
7811,3,1,4,-1,1,-1,-1,-1,5.69944,5.69944,10.7133,10.7133,10.7133,10.7133,0.647072,0.644642,0.868831,0.8945,0.8919,0.8672,1.0,1.0,0.7050000000000001,1.0,1.0,1.0,54.252049512
7812,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.111912,0.117568,0.836557,0.8652,0.8632,0.8351,0.9903,0.45820000000000005,0.6797,1.0,1.0,1.0,3.6295369096
7813,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.3503,0.360072,0.354663,0.348865,0.540759,0.935371,0.99999999507,1.0,0.9823810364400001,0.9104000000000001,0.7172553749199999,0.9693,40.921803529
7814,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.3503,0.360072,0.354663,0.348865,0.540759,0.935371,0.99999999507,1.0,0.9823810364400001,0.9104000000000001,0.7172553749199999,0.9693,2.8900299284
7815,3,1,4,-1,1,-1,-1,-1,5.69944,5.69944,10.7133,10.7133,10.7133,10.7133,0.6461,0.610309,0.896212,0.8945,0.876642,0.883072,0.99999993235,0.99982642884,0.95142244353,1.0,1.0,1.0,54.252049512
7816,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,14.285,14.285,14.285,14.285,0.354663,0.147634,0.913946,0.9137,0.896342,0.900572,0.98238103644,0.82212418028,0.9872074609299999,1.0,1.0,1.0,4.1268569088
7817,6,1,4,-1,-1,-1,-1,1,5.69944,5.69944,5.69944,5.69944,5.69944,10.7133,0.661611,0.658684,0.6398,0.647072,0.620528,0.896212,0.0132437321775,0.8324,1.0,1.0,0.9995,0.951422443525,39.210489453
7818,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.588572,0.580819,0.514684,0.593369,0.593369,0.5818,1.0,0.79456840589,0.633,0.81904492176,0.81904492176,1.0,32.932734377
7819,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.389457,0.986611,0.9441,0.971055,0.912651,0.9887,0.23500000000000001,1.0,1.0,0.8734999999999999,1.0,1.0,63.453992894
7820,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.658684,0.886158,0.861,0.896212,0.861205,0.8759,0.8324,0.258,1.0,0.95142244353,1.0,1.0,59.265902865
7821,6,1,1,-1,0,-1,-1,4,6.12595,6.12595,11.4656,11.4656,11.4656,15.6597,0.390034,0.395998,0.982582,0.972142,0.986711,0.9759,0.99609405067,0.1709,0.8468,1.0,1.0,1.0,62.308417223
7822,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.343242,0.9901,0.987,0.968647,0.971055,0.9814,0.94745553593,1.0,1.0,1.0,0.8734999999999999,1.0,63.453992894
7823,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,16.2848,16.2848,18.7111,18.7111,0.7582,0.804786,0.3071,0.284647,0.884651,0.8887,1.0,0.41050404108000005,1.0,1.0,0.5065999999999999,1.0,3.9280843464
7824,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,16.2848,16.2848,18.7111,18.7111,0.7582,0.804786,0.3071,0.284647,0.884651,0.8887,1.0,0.41050404108000005,1.0,1.0,0.5065999999999999,1.0,3.9280843464
7825,2,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.665863,0.896212,0.866,0.896212,0.759997,0.8919,0.0611,0.9514224435299999,0.99999431034,0.95142244353,0.9842,1.0,59.265902865
