index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
1581,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,15.6597,15.6597,0.657206,0.867947,0.840493,0.878142,0.960118,0.982747,0.1527,0.7069,0.6835,1.0,1.0,0.9948,69.158711488
1582,6,1,1,0,2,3,-1,-1,6.12595,11.4656,14.285,22.5415,22.5415,22.5415,0.394875,0.992031,0.967212,0.940245,0.922001,0.939182,0.06428898485199999,0.86947389785,0.41969999999999996,0.47357181057,0.6386000000000001,0.9999935077550001,5.1555454986
1583,3,1,1,4,2,-1,-1,-1,6.12595,10.7133,13.8584,13.8584,13.8584,13.8584,0.362765,0.8616,0.511224,0.516626,0.519889,0.404467,0.95375002647,0.27949999999999997,0.5395,0.6005444907499999,1.0,0.9317,3.1765704237
1584,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,13.8584,13.8584,13.8584,13.8584,0.362765,0.8616,0.511224,0.516626,0.519889,0.404467,0.95375002647,0.27949999999999997,0.5395,0.6005444907499999,1.0,0.9317,3.1765704237
1585,5,1,2,-1,-1,1,4,-1,4.32456,4.32456,4.32456,9.33853,13.8584,13.8584,0.372904,0.332522,0.276504,0.530855,0.507967,0.500044,0.12033397385,0.9998,0.7518,0.6389654634699999,0.6027,0.9999,2.520797006
1586,6,1,1,0,2,4,-1,-1,6.12595,11.4656,14.285,18.4791,18.4791,18.4791,0.394875,0.992245,0.965289,0.830283,0.819472,0.791205,0.06428898485199999,0.89042334077,0.5066999999999999,0.99982801188,1.0,1.0,4.7933689552
1587,3,1,2,1,0,-1,-1,-1,4.32456,9.33853,14.285,14.285,14.285,14.285,0.328056,0.496189,0.976649,0.969734,0.938314,0.972882,0.326,0.5885,0.41591137556,1.0,1.0,1.0,4.6818240362
1588,6,1,0,-1,1,-1,-1,3,6.12595,6.12595,11.4656,11.4656,11.4656,20.5083,0.0732855,0.126104,0.866462,0.838172,0.7447,0.903942,0.4042,1.0,0.89727615637,0.76299794227,1.0,0.939457914938,3.5526659988
1589,6,1,0,-1,-1,1,4,2,6.12595,6.12595,6.12595,11.4656,15.6597,18.4791,0.11886,0.0982827,0.117839,0.866462,0.987636,0.798105,0.45929736553,0.9604,0.99934288396,0.89727615637,1.0,1.0,2.9871857014
1590,5,1,0,-1,4,1,2,-1,6.12595,6.12595,10.7133,15.6597,18.4791,18.4791,0.105815,0.112645,0.219244,0.988829,0.873489,0.854342,0.4514,0.4546,0.7801,0.9792000000000001,1.0,1.0,3.1543646167
1591,4,1,0,-1,-1,1,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.115695,0.11555,0.11886,0.785289,0.7447,0.841447,0.4290668332,0.99997308027,0.45929736553,0.6907,1.0,1.0,2.7215417789
1592,4,1,4,3,1,-1,-1,-1,5.69944,16.9745,20.8722,20.8722,20.8722,20.8722,0.658231,0.633457,0.803018,0.755186,0.798977,0.790033,0.94771387208,0.90129220126,0.372,1.0,1.0,0.997756463989,4.4389011979
1593,6,1,3,4,-1,-1,2,0,11.2751,16.9745,16.9745,16.9745,19.7265,23.231,0.795271,0.678172,0.666447,0.639944,0.973889,0.800982,0.1976,0.89568182298,0.7621,0.99931067213,0.9984,0.999963581073,4.5547055615
1594,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.105815,0.85624,0.845972,0.830318,0.838075,0.846642,0.4514,0.3208,0.4108,1.0,0.6793,1.0,4.3230621712
1595,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.105815,0.85624,0.845972,0.830318,0.838075,0.846642,0.4514,0.3208,0.4108,1.0,0.6793,1.0,4.3230621712
1596,4,1,3,1,4,0,-1,-1,11.2751,16.2848,20.8722,24.7024,24.7024,24.7024,0.810859,0.276834,0.836711,0.959946,0.993182,0.859375,0.45943947892000003,0.7836,1.0,0.9992000000000001,1.0,1.0,4.7369073362
1597,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,16.2848,20.8722,24.7024,24.7024,24.7024,0.810859,0.276834,0.836711,0.959946,0.993182,0.859375,0.45943947892000003,0.7836,1.0,0.9992000000000001,1.0,1.0,4.7369073362
1598,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,16.2848,20.8722,24.7024,24.7024,24.7024,0.810859,0.276834,0.836711,0.959946,0.993182,0.859375,0.45943947892000003,0.7836,1.0,0.9992000000000001,1.0,1.0,4.7369073362
1599,6,1,0,-1,-1,1,-1,4,6.12595,6.12595,6.12595,11.4656,11.4656,15.6597,0.118406,0.0862458,0.106514,0.845972,0.865455,0.982786,0.0476,0.4526,0.9867114318500001,0.4108,0.93872680018,1.0,3.0053788431
1600,6,1,4,-1,0,1,2,3,5.69944,5.69944,10.7133,15.6597,18.4791,26.7355,0.645986,0.620137,0.234567,0.985475,0.702047,0.859375,1.0,0.8314855142199999,0.7938000000000001,0.9998,1.0,1.0,4.0475858061
1601,5,1,3,0,2,1,-1,-1,11.2751,16.2848,18.7111,22.5415,22.5415,22.5415,0.800289,0.567555,0.119175,0.973497,0.974411,0.865305,1.0,0.112,0.911,0.7834,1.0,0.982,4.3002321817
1602,6,1,1,-1,0,-1,-1,4,6.12595,6.12595,11.4656,11.4656,11.4656,15.6597,0.373547,0.39265,0.983902,0.984136,0.954814,0.997804,1.0,1.0,0.83291353116,1.0,1.0,1.0,4.6868540673
1603,4,1,4,3,2,0,-1,-1,5.69944,16.9745,19.7265,23.231,23.231,23.231,0.650936,0.611266,0.940165,0.822004,0.820089,0.805672,1.0,0.2074,0.98737045772,1.0,1.0,1.0,4.6501334253
1604,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.841601,0.816918,0.826286,0.832872,0.838211,0.821847,0.0161093921004,0.6744530036999999,1.0,1.0,1.0,1.0,4.977733979
1605,6,2,3,-1,-1,2,1,0,5.75369,5.75369,5.75369,10.6473,15.433,20.0425,0.808236,0.81316,0.746827,0.0566251,0.0517121,0.628482,1.0,0.6048929049699999,0.5459,0.7777000000000001,0.9964593985200001,1.0,3.105043098
1606,-1,-1,-1,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,10.6473,15.433,20.0425,0.808236,0.81316,0.746827,0.0566251,0.0517121,0.628482,1.0,0.6048929049699999,0.5459,0.7777000000000001,0.9964593985200001,1.0,3.105043098
1607,5,1,1,-1,0,2,4,-1,6.12595,6.12595,11.4656,14.285,18.4791,18.4791,0.390094,0.350998,0.983333,0.964755,0.809761,0.828289,0.9792,0.3385,0.8502000000000001,0.42667420591,0.9804999999999999,1.0,4.3272304026
1608,6,1,4,1,-1,-1,0,-1,5.69944,10.7133,10.7133,10.7133,15.6597,15.6597,0.664089,0.887756,0.870776,0.891681,0.970701,0.972957,1.0,0.8014,0.99999281563,1.0,0.9941,0.998433966958,5.2579609873
1609,6,1,1,2,-1,-1,0,-1,6.12595,9.33853,9.33853,9.33853,14.285,14.285,0.386926,0.555588,0.56287,0.543618,0.973862,0.918251,0.17923438295000002,0.1165,0.8962841617699999,0.9999894444299999,0.9956,1.0,3.9411158224
1610,6,1,2,-1,0,3,-1,1,4.32456,4.32456,9.33853,18.7111,18.7111,22.5415,0.355686,0.369495,0.154355,0.134575,0.13462,0.993382,0.99999134237,0.146091383375,0.7202,0.38973766748,0.9827999999999999,1.0,2.1421126474
1611,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,9.33853,18.7111,18.7111,22.5415,0.355686,0.369495,0.154355,0.134575,0.13462,0.993382,0.99999134237,0.146091383375,0.7202,0.38973766748,0.9827999999999999,1.0,2.1421126474
1612,3,1,2,1,0,-1,-1,-1,4.32456,9.33853,14.285,14.285,14.285,14.285,0.328374,0.543789,0.975928,0.933105,0.952347,0.976989,0.94029278879,1.0,0.39695050502499996,1.0,1.0,1.0,4.7105330717
1613,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,14.285,14.285,14.285,14.285,0.328374,0.543789,0.975928,0.933105,0.952347,0.976989,0.94029278879,1.0,0.39695050502499996,1.0,1.0,1.0,4.7105330717
1614,-1,-1,-1,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.84391,0.817385,0.828586,0.832872,0.817385,0.839489,0.0409,0.99963886803,0.312,1.0,0.9996388680299999,1.0,32.932734377
1615,6,1,1,0,2,-1,4,-1,6.12595,11.4656,14.285,14.285,18.4791,18.4791,0.382036,0.979232,0.966404,0.962212,0.822177,0.821936,1.0,0.8462815402,1.0,0.9999,1.0,1.0,4.9339975028
1616,6,1,1,-1,-1,0,-1,4,6.12595,6.12595,6.12595,11.4656,11.4656,15.6597,0.392277,0.397904,0.359214,0.974342,0.912568,0.973847,0.2341,1.0,1.0,1.0,1.0,1.0,4.0101526339
1617,6,1,4,3,0,2,-1,-1,5.69944,16.9745,20.8722,23.231,23.231,23.231,0.662404,0.621699,0.387334,0.775194,0.819134,0.814811,1.0,0.10326319424290001,1.0,0.6394,1.0,1.0,4.0805751471
1618,6,1,0,-1,-1,1,4,3,6.12595,6.12595,6.12595,11.4656,15.6597,24.7024,0.120281,0.123395,0.107856,0.830318,0.993382,0.991638,1.0,0.40769944348,0.44845452165,1.0,1.0,0.99953318254,3.1668695087
1619,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,6.12595,11.4656,15.6597,24.7024,0.120281,0.123395,0.107856,0.830318,0.993382,0.991638,1.0,0.40769944348,0.44845452165,1.0,1.0,0.99953318254,3.1668695087
1620,6,1,2,1,0,-1,4,-1,4.32456,9.33853,14.285,14.285,18.4791,18.4791,0.372904,0.533034,0.975928,0.971928,0.855918,0.874611,0.12033397385,1.0,0.39695050502499996,0.5732999999999999,1.0,1.0,4.5843226037
1621,4,1,4,3,0,2,-1,-1,5.69944,16.9745,20.8722,23.231,23.231,23.231,0.659107,0.600236,0.366847,0.817209,0.69742,0.769486,0.014083936393800001,0.77385990023,1.0,0.7384999999999999,0.9499,1.0,3.9103052924
1622,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,10.7133,15.6597,15.6597,15.6597,15.6597,0.662215,0.862414,0.985167,0.856675,0.8748,0.917325,0.1065,1.0,0.9975561400199999,1.0,1.0,0.9942,79.051520112
1623,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,10.7133,15.6597,15.6597,15.6597,15.6597,0.662215,0.862414,0.985167,0.856675,0.8748,0.917325,0.1065,1.0,0.9975561400199999,1.0,1.0,0.9942,79.051520112
1624,-1,-1,-1,-1,-1,-1,-1,-1,5.69944,10.7133,15.6597,15.6597,15.6597,15.6597,0.662215,0.862414,0.985167,0.856675,0.8748,0.917325,0.1065,1.0,0.9975561400199999,1.0,1.0,0.9942,79.051520112
1625,4,1,4,-1,1,0,-1,-1,5.69944,5.69944,10.7133,15.6597,15.6597,15.6597,0.646542,0.655472,0.878465,0.954028,0.953005,0.953141,1.0,0.91084031557,0.83131374978,1.0,1.0,0.9992,5.0406538199
1626,6,1,2,-1,1,0,4,-1,4.32456,4.32456,9.33853,14.285,18.4791,18.4791,0.364517,0.355686,0.529231,0.971343,0.825086,0.860385,0.0366,0.99999134237,0.6136999999999999,0.48992157751,1.0,0.9887,3.9062471951
1627,3,1,4,0,1,-1,-1,-1,5.69944,10.7133,15.6597,15.6597,15.6597,15.6597,0.603297,0.194166,0.997804,0.986277,0.962018,0.978342,0.7267,0.712,1.0,1.0,1.0,1.0,4.7219042789
1628,5,1,2,3,4,0,1,-1,4.32456,14.8134,19.7265,23.231,26.7355,26.7355,0.370401,0.326537,0.99555,0.751783,0.871208,0.980934,0.073305667531,0.99995368038,1.0,0.99739101928,0.9582999999999999,1.0,4.2964135745
1629,6,1,1,-1,4,2,-1,3,6.12595,6.12595,10.7133,13.8584,13.8584,23.231,0.390434,0.390434,0.869825,0.511356,0.507172,0.991934,1.0,1.0,0.74141437129,0.6007602221199999,1.0,1.0,3.6611541622
1630,5,0,2,-1,-1,-1,1,-1,5.48879,5.48879,5.48879,5.48879,11.2751,11.2751,0.841601,0.826286,0.832872,0.817918,0.872486,0.88205,0.0161093921004,1.0,1.0,1.0,0.34709999999999996,1.0,5.0732119069
1631,4,1,3,1,4,0,-1,-1,11.2751,16.2848,20.8722,24.7024,24.7024,24.7024,0.795271,0.300972,0.833739,0.987636,0.993182,0.992881,0.1976,1.0,0.41980083008,1.0,1.0,1.0,4.9036813031
1632,6,2,3,-1,0,2,-1,1,5.75369,5.75369,11.2749,16.1685,16.1685,20.0425,0.805672,0.800081,0.848414,0.1625,0.183185,0.464169,1.0,0.9997117433,0.419,0.8815,0.9908999999999999,0.990697722596,3.2640207846
1633,6,1,2,1,4,3,-1,-1,4.32456,9.33853,13.8584,23.231,23.231,23.231,0.360745,0.524719,0.507967,0.991967,0.97057,0.8748,0.2295279275,0.99992551861,0.6027,0.99608080638,0.9456,1.0,4.2307689123
1634,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,13.8584,23.231,23.231,23.231,0.360745,0.524719,0.507967,0.991967,0.97057,0.8748,0.2295279275,0.99992551861,0.6027,0.99608080638,0.9456,1.0,4.2307689123
1635,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,9.33853,13.8584,23.231,23.231,23.231,0.360745,0.524719,0.507967,0.991967,0.97057,0.8748,0.2295279275,0.99992551861,0.6027,0.99608080638,0.9456,1.0,4.2307689123
1636,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.395225,0.983333,0.988721,0.983902,0.981177,0.985711,0.027592004157,0.8502,0.8117000000000001,0.83291353116,0.9999983050600001,1.0,5.3180697459
1637,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.395225,0.983333,0.988721,0.983902,0.981177,0.985711,0.027592004157,0.8502,0.8117000000000001,0.83291353116,0.9999983050600001,1.0,5.3180697459
