index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
1,5,1,3,-1,-1,-1,2,-1,16.9745,16.9745,16.9745,16.9745,19.7265,19.7265,0.3517,0.3517,0.4234,0.99999999999,0.9982,1.0,107.3511875
2,6,1,1,0,-1,-1,-1,2,6.12595,11.4656,11.4656,11.4656,11.4656,14.285,0.81,0.99644136839,0.9035949435799999,0.7121,0.999999999463,1.0,66.273426293
3,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,14.285,0.81,0.99644136839,0.9035949435799999,0.7121,0.999999999463,1.0,66.273426293
4,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.3517,0.9995438476399999,0.99999999999,1.0,0.992254206545,1.0,110.10317835
5,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.16968316173,0.9995438476399999,0.99954384764,1.0,1.0,0.9922542065452999,110.10317835
6,5,1,2,-1,-1,1,0,-1,4.32456,4.32456,4.32456,9.33853,14.285,14.285,0.7702,0.9464,0.99649380701,0.9999139315100001,0.9735999999999999,1.0,50.882288999
7,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.16968316173,0.99999999999,0.9544999999999999,1.0,0.9982,1.0,110.10317835
8,3,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.99999999999,0.4234,0.9999945213299999,1.0,0.992254206545,1.0,112.85516921
9,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.16968316173,0.3517,0.99954384764,1.0,0.992254206545,0.9922542065452999,110.10317835
10,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.16968316173,0.99999999999,0.99999999999,0.4234,0.9544999999999999,1.0,101.8472058
11,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.81,0.8099999999999999,0.99644136839,1.0,1.0,0.9964413683911,58.114329577
12,5,1,1,-1,-1,0,3,-1,6.12595,6.12595,6.12595,11.4656,24.7024,24.7024,0.0366,0.9761,0.9761,1.0,0.999999438011,0.9943,79.248228017
13,5,1,3,-1,-1,-1,2,-1,16.9745,16.9745,16.9745,16.9745,19.7265,19.7265,0.3517,0.169683161729,1.0,1.0,0.999994521327,1.0,107.3511875
14,5,1,1,0,-1,-1,2,-1,6.12595,11.4656,11.4656,11.4656,14.285,14.285,0.99987154662,0.90359494358,1.0,0.9035949435799999,0.9985819275519999,1.0,69.092859692
15,6,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.81,0.9644447779399999,0.9072,0.99999999946,1.0,0.9964413683911,58.114329577
16,5,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.16968316173,0.9545,0.99999999999,0.9999945213299999,1.0,1.0,110.10317835
17,6,1,3,-1,-1,-1,-1,2,16.9745,16.9745,16.9745,16.9745,16.9745,19.7265,0.3517,0.9995438476399999,0.335830352415,0.3517,0.9544999999999999,0.9922542065452999,104.59919665
18,5,1,1,0,-1,-1,2,-1,6.12595,11.4656,11.4656,11.4656,14.285,14.285,0.96444477794,0.9072,0.7121,0.99644136839,1.0,1.0,69.092859692
19,5,1,3,-1,-1,0,1,-1,16.9745,16.9745,16.9745,20.8722,24.7024,24.7024,0.99954384764,0.3517,1.0,0.99649380657,1.0,1.0,121.20057019
20,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.3517,0.9545,0.335830352415,0.9999945213299999,1.0,1.0,110.10317835
21,5,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.96444477794,0.9761,0.96444477794,0.9072,0.996441368391,1.0,52.77466626
22,6,1,0,2,1,-1,-1,3,6.12595,9.33853,14.285,14.285,14.285,26.7355,0.3647,0.9521,0.78374839958,1.0,0.960501862602,1.0,85.055145904
23,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0366,0.9072,1.0,1.0,0.996441368391,1.0,63.453992894
24,6,1,0,-1,1,-1,-1,3,6.12595,6.12595,11.4656,11.4656,11.4656,24.7024,0.3647,0.23750000000000002,0.5505,1.0,1.0,1.0,71.351110456
25,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.33583035241000003,1.0,0.99999999999,1.0,1.0,0.9922542065452999,110.10317835
26,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.028639075529000003,0.5729,1.0,1.0,0.999998943955,0.9999989439551,63.453992894
27,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3647,0.57638723487,0.5505,1.0,1.0,1.0,63.453992894
28,6,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.81,0.99987154662,0.99644136839,0.7121,1.0,0.9964413683911,58.114329577
29,6,1,0,1,-1,-1,3,-1,6.12595,11.4656,11.4656,11.4656,24.7024,24.7024,0.20411543188,0.5729,0.5729,0.9999989439599999,1.0,1.0,89.927554651
30,6,1,1,0,-1,-1,-1,2,6.12595,11.4656,11.4656,11.4656,11.4656,14.285,0.99987154662,0.9072,0.9072,0.99644136839,1.0,1.0,66.273426293
31,6,1,1,0,-1,-1,-1,2,6.12595,11.4656,11.4656,11.4656,11.4656,14.285,0.81,0.90359494358,0.9072,0.9072,0.996441368391,1.0,66.273426293
32,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0366,0.7121,0.99999999946,0.99644136839,0.999999999463,0.9964413683911,63.453992894
33,6,1,1,-1,0,-1,-1,2,6.12595,6.12595,11.4656,11.4656,11.4656,14.285,0.99987154662,0.99987154662,0.9035949435799999,0.9072,0.996441368391,1.0,60.933762976
34,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.3517,1.0,0.9999945213299999,1.0,1.0,1.0,115.60716006
35,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3647,0.59802524001,1.0,0.5729,1.0,0.9999989439551,63.453992894
36,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.33583035241000003,0.9545,0.9544999999999999,0.3517,0.999543847638,0.9999999999913,101.8472058
37,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.16968316173,0.3517,0.3517,1.0,0.9982,0.9922542065452999,110.10317835
38,6,1,1,0,-1,-1,2,-1,6.12595,11.4656,11.4656,11.4656,14.285,14.285,0.81,0.9072,0.7121,1.0,0.9985819275519999,1.0,69.092859692
39,5,1,3,1,-1,-1,0,-1,16.9745,20.8722,20.8722,20.8722,24.7024,24.7024,0.9545,0.8774468895699999,1.0,0.67990423336,1.0,1.0,128.99587518
40,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.16968316173,0.33583035241000003,0.99999999999,0.99225420655,0.999994521327,0.9922542065452999,110.10317835
41,6,1,1,2,0,-1,-1,-1,6.12595,9.33853,14.285,14.285,14.285,14.285,0.0366,0.99989558675,0.99999902353,1.0,1.0,0.9998,72.604648693
42,3,1,0,-1,1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.20411543188,0.3647,0.5729,0.5729,1.0,1.0,58.114329577
43,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.3517,1.0,1.0,1.0,1.0,1.0,115.60716006
44,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.028639075529000003,0.5729,1.0,0.9999989439599999,1.0,1.0,63.453992894
45,5,1,1,-1,0,-1,2,-1,6.12595,6.12595,11.4656,11.4656,14.285,14.285,0.96444477794,0.99987154662,0.9072,1.0,1.0,1.0,63.753196375
46,5,1,3,-1,-1,0,1,-1,16.9745,16.9745,16.9745,20.8722,24.7024,24.7024,0.99999999999,0.3517,0.99954384764,0.99649380657,1.0,1.0,121.20057019
47,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.81,0.99987154662,0.9035949435799999,0.99644136839,0.999999999463,0.9964413683911,58.114329577
48,6,1,3,-1,-1,-1,1,0,16.9745,16.9745,16.9745,16.9745,20.8722,24.7024,0.33583035241000003,0.9545,0.99999999999,0.99954384764,1.0,1.0,113.47271424
