index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
1,-1,-1,-1,-1,-1,-1,-1,-1,4.32456,4.32456,9.33853,9.33853,14.285,14.285,0.369454,0.329026,0.535304,0.5382,0.969359,0.925355,0.082334387219,0.9997,0.64094600738,1.0,0.5781000000000001,0.991344083126,3.6666984173
2,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.3945,0.987933,0.992,0.9887,0.9734,0.9814,1.0,0.8100999999999999,1.0,1.0,1.0,1.0,5.3179327842
3,6,1,1,-1,0,3,-1,-1,6.12595,6.12595,11.4656,20.5083,20.5083,20.5083,0.402334,0.3654,0.987933,0.9454,0.908405,0.950012,0.027432682867999998,0.9999987418899999,0.8101,1.0,1.0,0.9963313424920001,4.5594848344
4,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.396966,0.972905,0.9903,0.949885,0.980272,0.9609,0.10854512326799999,0.83381555451,1.0,0.9982,1.0,1.0,5.2512276659
5,6,1,2,3,0,4,-1,1,4.32456,14.8134,18.7111,23.231,23.231,26.7355,0.364563,0.304658,0.0996791,0.899697,0.878501,0.915623,0.20112990353000001,0.2051,0.9914948099900001,0.50903711885,0.8593837976600001,0.9979,3.4627204564
6,1,1,3,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.8045,0.794941,0.677983,0.798111,0.808668,0.8045,1.0,0.2053,0.8883000000000001,1.0,0.4587,1.0,4.68870358
7,-1,-1,-1,-1,-1,-1,-1,-1,11.2751,11.2751,11.2751,11.2751,11.2751,11.2751,0.8045,0.794941,0.677983,0.798111,0.808668,0.8045,1.0,0.2053,0.8883000000000001,1.0,0.4587,1.0,4.68870358
8,6,0,1,-1,-1,-1,0,-1,5.78631,5.78631,5.78631,5.78631,13.8631,13.8631,0.358788,0.3746,0.348622,0.399365,0.310234,0.285041,0.98103539739,0.9999999908,0.40659999999999996,0.322783941764,0.9422649485200001,0.9578,2.0766505607
9,6,1,1,0,-1,-1,-1,3,6.12595,11.4656,11.4656,11.4656,11.4656,20.5083,0.397706,0.9893,0.950005,0.973742,0.9893,0.933997,0.064838411757,0.86445323726,1.0,1.0,0.86445323726,0.959007114044,5.2340502588
10,4,1,0,4,3,1,-1,-1,6.12595,10.7133,20.8722,24.7024,24.7024,24.7024,0.0737245,0.196417,0.304908,0.918351,0.944186,0.9863,0.3998,0.6850999999999999,0.9799,1.0,1.0,1.0,3.4238863697
11,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,10.7133,20.8722,24.7024,24.7024,24.7024,0.0737245,0.196417,0.304908,0.918351,0.944186,0.9863,0.3998,0.6850999999999999,0.9799,1.0,1.0,1.0,3.4238863697
12,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.37404,0.368119,0.9893,0.9814,0.971055,0.94371,0.9302,0.3164,0.86445323726,1.0,0.8734999999999999,0.9279000000000001,4.6276239059
13,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.37404,0.368119,0.9893,0.9814,0.971055,0.94371,0.9302,0.3164,0.86445323726,1.0,0.8734999999999999,0.9279000000000001,4.6276239059
