index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
1651,5,1,1,0,-1,-1,2,-1,6.12595,11.4656,11.4656,11.4656,14.285,14.285,0.93,0.7898,0.99999999999,1.0,0.9635,1.0,69.092859692
1652,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.16968316173,0.99041498184,0.9802,0.99999995225,0.99557611305,0.999549769879,101.8472058
1653,5,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.33583035241000003,0.99041498184,0.9999945213299999,1.0,1.0,1.0,112.85516921
1654,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.22828330625,0.99811018353,0.3832,0.7466999999999999,1.0,1.0,52.77466626
1655,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.96444477794,0.90359494358,0.7121,0.98256185581,0.99999999995,0.9727,63.453992894
1656,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.6548,0.966593905,0.4234,0.7692,0.99557611305,0.9442986188270001,101.8472058
1657,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.27706833066000003,0.95954834392,0.9999999585899999,0.9999999961499999,1.0,0.9035949435794001,63.453992894
1658,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.9995,0.8396,0.9904149818400001,0.94429861883,0.9665939050000001,0.999999999991,101.8472058
1659,6,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0366,0.9966318565,0.9595483439199999,1.0,0.99999999615,0.959548343916,63.453992894
1660,5,1,3,-1,2,-1,-1,-1,16.9745,16.9745,19.7265,19.7265,19.7265,19.7265,0.85065856896,0.99041498184,1.0,1.0,1.0,0.9999999531220001,112.85516921
1661,5,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0159,0.9966318565,0.7466999999999999,0.99644136839,0.99999995859,1.0,63.453992894
1662,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.99691906204,0.5924,0.69696397392,0.9998034521399999,0.9997980508600001,0.998980823787,32.932734377
1663,2,1,3,2,-1,-1,-1,-1,16.9745,19.7265,19.7265,19.7265,19.7265,19.7265,0.3812,1.0,0.9999980264899999,1.0,0.99997861192,1.0,115.60716006
1664,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.97464004163,0.66398467346,0.69150539608,0.6442054938499999,0.9794,1.0,40.921803529
1665,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.20233089569,0.6936,0.8425,1.0,0.9966318565000001,1.0,58.114329577
1666,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.0489,0.99788038227,0.7326999999999999,0.9971000000000001,0.99999999985,1.0,63.453992894
1667,6,1,3,-1,-1,-1,-1,2,16.9745,16.9745,16.9745,16.9745,16.9745,19.7265,0.3517,0.80089636453,0.9845039348,0.8008,0.99954976988,0.9439000000000001,104.59919665
1668,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.35150000000000003,0.22828330625,0.6936,0.6936,1.0,0.999999999463,47.435002944
1669,6,1,1,-1,-1,-1,0,2,6.12595,6.12595,6.12595,6.12595,11.4656,14.285,0.93,0.9644447779399999,0.3694,0.6936,0.99908915314,0.9635,50.254436343
1670,6,1,1,-1,0,-1,-1,2,6.12595,6.12595,11.4656,11.4656,11.4656,14.285,0.0934,0.22828330625,0.7898000000000001,0.9999998022400001,0.9595483439200001,0.9635,60.933762976
1671,5,1,1,0,-1,-1,2,-1,6.12595,11.4656,11.4656,11.4656,14.285,14.285,0.25456472475999997,0.7898,1.0,1.0,0.9890000000000001,1.0,69.092859692
1672,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.85065856896,0.6131,0.9999250933899999,1.0,1.0,1.0,110.10317835
1673,2,1,0,1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.07684488497599999,0.9375553156599999,1.0,0.7326999999999999,0.9672000000000001,1.0,63.453992894
1674,5,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.0138,0.77162379445,0.7445251774399999,0.9999999585899999,0.93206533818,0.999967543718,52.77466626
1675,4,1,0,-1,1,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.0478,0.126727505749,0.5980586441,0.93755531566,0.9938,0.9938,58.114329577
1676,4,1,3,-1,-1,2,-1,-1,16.9745,16.9745,16.9745,19.7265,19.7265,19.7265,0.27210671771,0.94429861883,0.9512,1.0,0.9982,1.0,110.10317835
1677,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.74452517744,0.99999607497,0.99999999424,0.9390000000000001,1.0,1.0,63.453992894
1678,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.33583035241000003,0.99999921493,0.9995,0.96228131439,0.9415,0.990414981842,101.8472058
