index,concept,i1,i2,i3,i4,i5,ax_pos,st_height,st_width,st_thick,laser_power,scanning_speed,power_density,n_layers,n_deposits,layer_thick,layer_width,layer_length,base_S_ip,base_N_ip,base_n_f_ip,base_U_ip,base_S_th,base_N_th,base_n_f_th,base_U_th,S_ip,N_ip,n_f_ip,U_ip,S_th,N_th,n_f_th,U_th,weight,temp,h_flux,h_area,S_residual,U_res,max_T_pool,build_time,max_res_U,max_res_S,resiliance_ip_uni,resiliance_ip_gau,R_volume_ip_uni,R_volume_ip_gau,capability_ip_uni,capability_ip_gau,buffer_ip_uni,buffer_ip_gau,excess_ip_uni,excess_ip_gau,resiliance_th_uni,resiliance_th_gau,R_volume_th_uni,R_volume_th_gau,capability_th_uni,capability_th_gau,buffery_th_uni,buffer_th_gau,excess_th_uni,excess_th_gau
97,1,1,0,4,3,2,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,165.102644718,137942.309286,4.14399067406,0.308179832429,318.804454525,122246.316748,4.22479814915,3.25643842402,26.7355399798305,1085.85473633,0.759037790587,55044.22535105,94.6772441864,0.171740472317,2144.57,78596.2460705,0.17174047231674194,94.67724418640137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9966,0.996,0.03515625,0.01084307124143118,0.96144375,0.9851569287585689
98,1,1,2,-1,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,229.59613591,34711.0691872,2.94243749809,0.502065683535,328.702898828,27473.1242935,2.7533009204,3.61893461183,9.338531572024198,1172.1463623,0.759037790587,55044.22535105,82.3336906433,0.169189020991,2144.57,78596.2460705,0.16918902099132538,82.33369064331055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364,0.3306825813559569,0.03515625,0.01084307124143118,0.5641,0.5688,0.0153421875,0.003585614787943003,0.5487578125,0.565214385212057
99,1,1,2,0,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,206.397662907,62100.0611005,3.23929083951,0.438066204389,222.92295244,167602.211781,3.88813353296,3.58176542653,14.285042767440899,1079.40893555,0.5359447198030001,77957.00873815,104.148574829,0.16953638196,2144.57,109919.388856,0.16953638195991516,104.14857482910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9998,1.0,0.03515625,0.01084307124143118,0.96464375,0.9891569287585689
100,1,1,2,0,3,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.692539969,18543.9341185,2.47144466922,0.622305222378,270.98416223,16085.8515286,2.3775824495,3.68731964541,168.825537422,122559.201804,3.60334204123,0.36342292157,261.203954751,202661.351801,3.80367022001,3.39097021546,22.5414523328085,936.906738281,0.2974523477815,140464.55030950002,116.676212311,0.168963462114,2144.57,12641.2256939,0.1689634621143341,116.67621231079102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9617,0.9601,0.03515625,0.01084307124143118,0.92654375,0.9492569287585688
101,1,1,2,0,3,4,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,167.699842599,129741.441635,3.7016407858,0.308094443459,315.939981896,132727.183993,4.31206921062,3.25637662341,26.7355399798305,1073.19799805,0.573418997885,72863.80685105,123.427518845,0.169209241867,2144.57,2185.91420553,0.16920924186706543,123.42751884460449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9994,0.9992,0.03515625,0.01084307124143118,0.96424375,0.9883569287585688
102,1,1,2,0,4,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,260.715131895,18538.0824944,2.47123050944,0.62237355845,270.831246091,16119.5373191,2.37892487485,3.68692995582,214.323729356,51203.0960717,3.25670370808,0.365898856686,307.997717473,48519.1431094,3.17921694288,3.41631430701,18.479130442063198,1096.40893555,0.573418997885,72863.80685105,116.461776733,0.16897714138,2144.57,2185.91420553,0.16897714138031006,116.46177673339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.9999977834234459,0.03515625,0.01084307124143118,0.9474,0.9456,0.035075390625,0.010843047206933692,0.912324609375,0.9347569527930663
103,1,1,2,0,4,3,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.711181244,133903.258424,3.79413296862,0.307651330592,318.610735207,133743.221298,4.32168974745,3.25606168223,26.7355399798305,925.762451172,0.2974523477815,140464.55030950002,119.391870499,0.169192269444,2144.57,12641.2256939,0.16919226944446564,119.39187049865723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03515625,0.01084307124143118,0.9998,1.0,0.03515625,0.01084307124143118,0.96464375,0.9891569287585689
104,1,1,2,3,-1,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.557071918,104000.740041,3.52565096078,0.403568243205,248.665758731,70344.4716785,3.60997388589,3.43860349181,18.7111419991587,952.403320313,0.2974523477815,140464.55030950002,105.088418961,0.169449314475,2144.57,12641.2256939,0.1694493144750595,105.08841896057129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7255,0.8612602143363187,0.03515625,0.01084307124143118,0.8253,0.8218,0.025505859375000002,0.009338705861458992,0.799794140625,0.812461294138541
105,1,1,2,3,0,-1,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.719517946,118038.756331,3.54693122684,0.364584573398,263.696888542,184561.67203,3.6597130751,3.39153646726,22.5414523328085,1047.0135498,0.5359447198030001,77957.00873815,123.229494095,0.168304651976,2144.57,109919.388856,0.1683046519756317,123.22949409484863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.9999999354505069,0.03515625,0.01084307124143118,0.9486,0.9538,0.035128124999999996,0.010843070541516427,0.913471875,0.9429569294584835
106,1,1,2,3,0,4,65.0,10.0,110.0,20.0,3806.055,5.0,6.0,2,1,5.0,7.57,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.20716475,129782.654334,3.60313858394,0.308370565985,315.689233498,128985.886582,4.28021396835,3.25659743596,26.7355399798305,1073.19799805,0.573418997885,72863.80685105,131.598651886,0.169150173664,2144.57,2185.91420553,0.16915017366409302,131.59865188598633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811,0.9997095716868385,0.03515625,0.01084307124143118,0.9662,0.9652,0.034491796875,0.010839922106541042,0.9317082031249999,0.9543600778934589
