index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,R1,R2,R3,R4,R5,R6,Total_weight
849,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.19703877718,0.121913580247,1.0,1.0,1.0,1.0,58.114329577
850,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.26466049383,0.8912037037,0.9389546844600001,0.62345679012,0.62808641975,0.9986418729829,32.932734377
851,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.09951621878099999,0.53240740741,0.44812352073999995,0.4575617284,0.9976851851899999,1.0,47.435002944
852,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.12609028461,0.61342592593,0.56172839506,0.9984567901199999,1.0,1.0,52.77466626
853,1,1,3,-1,-1,-1,-1,-1,16.9745,16.9745,16.9745,16.9745,16.9745,16.9745,0.83641975309,0.95685783776,0.9984650151800001,0.69907407407,0.78472222222,0.99074074074074,101.8472058
854,6,1,1,-1,2,-1,-1,0,6.12595,6.12595,9.33853,9.33853,9.33853,14.285,0.43981481481,0.43672839506000005,0.50694444444,0.99600892031,0.69506650268,1.0,54.552529587
855,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.65354938272,0.36419753085999995,0.3125,1.0,1.0,0.9992283950617,52.77466626
856,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.49276075859,0.40354938271999996,0.99922839506,1.0,0.9999951703900001,0.9999981086055,58.114329577
857,4,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.44058641975,0.146221442611,1.0,1.0,0.9999486317699999,0.9992283950617,58.114329577
858,6,1,2,-1,-1,-1,1,0,4.32456,4.32456,4.32456,4.32456,9.33853,14.285,0.22839506173000002,0.20910493826999998,0.46173339003,0.47608024690999995,0.324074074074,1.0,40.921803529
859,5,1,1,-1,-1,-1,0,-1,6.12595,6.12595,6.12595,6.12595,11.4656,11.4656,0.06800083939399999,0.151234567901,0.90837808955,0.78780864198,1.0,1.0,47.435002944
860,3,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.23034696554,1.0,1.0,1.0,0.9999715901299999,1.0,63.453992894
861,5,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.17438271605,0.26388888889,0.99922839506,0.99922839506,1.0,0.9936329656963,58.114329577
862,6,1,1,-1,-1,-1,0,2,6.12595,6.12595,6.12595,6.12595,11.4656,14.285,0.033901066252,0.64969135802,0.325617283951,0.370030447673,1.0,1.0,50.254436343
863,6,1,1,-1,2,-1,-1,0,6.12595,6.12595,9.33853,9.33853,9.33853,14.285,0.34336419753,0.87765966955,0.69603256058,0.40817901235,0.9953142801499999,1.0,54.552529587
864,6,1,1,-1,-1,-1,-1,0,6.12595,6.12595,6.12595,6.12595,6.12595,11.4656,0.10262345679,0.47839506173,0.6095679012299999,0.363426948922,0.46836419753,1.0,42.095339627
865,4,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.23644480701,0.49845679012,0.48765432099,0.9945987654299999,0.99999826638,1.0,52.77466626
866,4,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.37701629344,0.99999238144,1.0,0.9945987654299999,1.0,0.999999961686,63.453992894
867,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.04096399531,0.153549382716,1.0,1.0,0.9953703703700001,1.0,58.114329577
