index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
13507,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.97005,0.966882,0.966111,0.937114,0.96679,0.8498,1.0,1.0,1.0,1.0,0.99880105058,1.0,33.127428251
13508,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.950942,0.971489,0.962036,0.948018,0.929105,0.972589,1.0,0.999936103,1.0,1.0,1.0,1.0,33.127428251
13509,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.985572,0.917568,0.993382,0.982786,0.997804,0.985572,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13510,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.962218,0.918351,0.997804,0.986277,0.918351,0.982786,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13511,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.993382,0.991211,0.991934,0.987636,0.974818,0.993382,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13512,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.972969,0.961077,0.971489,0.893651,0.96466,0.961077,0.22092185735,1.0,0.999936103,1.0,0.41169999999999995,1.0,33.127428251
13513,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.973847,0.997289,0.986277,0.991211,0.982786,0.973847,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13514,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.973847,0.974818,0.991934,0.992881,0.962218,0.918351,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13515,1,2,3,-1,-1,-1,-1,-1,5.75369,5.75369,5.75369,5.75369,5.75369,5.75369,0.973847,0.974576,0.991934,0.997289,0.991211,0.99555,1.0,1.0,1.0,1.0,1.0,1.0,34.522143787
13516,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.96466,0.919486,0.950576,0.962272,0.954951,0.933169,0.4117,1.0,1.0,1.0,0.9622999999999999,0.9244,33.127428251
