index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_weight
1,-1,-1,-1,-1,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.39265,0.988721,0.992889,0.988182,0.984136,0.987134,1.0,0.8117,1.0,1.0,1.0,1.0,5.3337127861
2,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.39265,0.988721,0.992889,0.988182,0.984136,0.987134,1.0,0.8117,1.0,1.0,1.0,1.0,63.453992894
3,3,1,1,-1,0,-1,-1,-1,6.12595,6.12595,11.4656,11.4656,11.4656,11.4656,0.395225,0.376786,0.988721,0.992204,0.950905,0.993089,0.027592004157,0.9999987311699999,0.8117000000000001,1.0,1.0,1.0,58.114329577
4,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.390817,0.983902,0.989882,0.949085,0.981472,0.969418,0.108065956597,0.83291353116,1.0,0.9982,1.0,1.0,63.453992894
5,5,1,1,-1,-1,0,-1,-1,6.12595,6.12595,6.12595,11.4656,11.4656,11.4656,0.390219,0.350998,0.39265,0.992031,0.969519,0.914654,0.1447966413,0.3385,1.0,0.8694738978500001,0.9999426524099999,0.9865,52.77466626
6,5,1,4,1,-1,-1,-1,-1,5.69944,10.7133,10.7133,10.7133,10.7133,10.7133,0.658231,0.883431,0.762769,0.892811,0.887756,0.896589,0.94771387208,0.35419999999999996,0.9843999999999999,1.0,0.8013999999999999,1.0,59.265902865
7,-1,-1,-1,-1,-1,-1,-1,-1,5.75369,11.2749,11.2749,11.2749,11.2749,11.2749,0.688899,0.786793,0.682402,0.797111,0.801488,0.805289,0.9963024037,0.24380000000000002,0.8647,1.0,0.4679,0.9999958064850001,4.5619811283
8,1,0,2,-1,-1,-1,-1,-1,5.48879,5.48879,5.48879,5.48879,5.48879,5.48879,0.562144,0.582386,0.511916,0.583234,0.57632,0.542686,0.999304136,1.0,0.6342,0.8050020899199999,0.9999179497799999,1.0,32.932734377
9,-1,-1,-1,-1,-1,-1,-1,-1,5.78631,5.78631,5.78631,5.78631,13.8631,13.8631,0.373365,0.395786,0.350875,0.403889,0.311923,0.286458,0.98021971888,0.99999999151,0.4048,0.30330966524889996,0.9441813729899999,0.9593,2.1222951862
10,6,1,4,-1,-1,1,-1,0,5.69944,5.69944,5.69944,10.7133,10.7133,15.6597,0.544142,0.622759,0.609086,0.840493,0.883431,0.989041,0.9817,0.9988,1.0,0.6835,0.35419999999999996,0.999073299456,54.184600471
