index,n_stages,concept,s1,s2,s3,s4,s5,s6,w1,w2,w3,w4,w5,w6,E1,E2,E3,E4,E5,E6,R1,R2,R3,R4,R5,R6,Total_excess
9450,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.36799,0.985711,0.981177,0.981777,0.981472,0.914654,0.3119,1.0,0.9999983050600001,1.0,1.0,0.9865,5.21277948
9451,5,1,2,3,4,0,-1,-1,4.32456,14.8134,19.7265,23.231,23.231,23.231,0.350438,0.334904,0.982786,0.721692,0.746207,0.76885,0.9163,1.0,1.0,0.9999,0.5325,1.0,3.9048762815
9452,4,2,1,0,2,-1,-1,-1,5.6423,10.2518,15.1146,15.1146,15.1146,15.1146,0.776183,0.764486,0.982316,0.986604,0.984789,0.94228,0.26438418609000003,1.0,0.5737,1.0,1.0,0.9826,5.4366580903
9453,5,2,0,1,-1,-1,-1,-1,5.52124,10.2518,10.2518,10.2518,10.2518,10.2518,0.96981,0.727952,0.841377,0.849336,0.855941,0.847677,0.28407480778,0.9383,0.99996558239,1.0,0.79662992428,1.0,5.0920923126
9454,5,1,1,0,-1,4,2,-1,6.12595,11.4656,11.4656,15.6597,18.4791,18.4791,0.396036,0.993089,0.939586,0.997804,0.81215,0.74247,0.019299999999999998,1.0,1.0,1.0,1.0,0.9369000000000001,4.88113485
9455,6,1,0,-1,-1,3,2,-1,6.12595,6.12595,6.12595,16.2848,18.7111,18.7111,0.0862458,0.107856,0.117839,0.542142,0.21005,0.175024,0.4526,0.44845452165,0.99934288396,0.8331197673099999,0.99999986062,0.9349000000000001,1.2391565919
9456,6,1,4,2,1,3,-1,-1,5.69944,9.23771,13.8584,23.231,23.231,23.231,0.654214,0.467389,0.565942,0.952282,0.901486,0.953089,0.88067096253,1.0,1.0,0.303106240741,1.0,0.999997715317,4.4944032473
9457,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.36799,0.987991,0.912568,0.956518,0.914654,0.973042,0.3119,0.8441857173799999,1.0,1.0,0.9864999999999999,1.0,5.1127622425
9458,2,1,1,0,-1,-1,-1,-1,6.12595,11.4656,11.4656,11.4656,11.4656,11.4656,0.359214,0.983333,0.992245,0.99105,0.992031,0.914051,1.0,0.8502,0.89042334077,1.0,0.8694738978500001,1.0,5.2319243329
9459,6,1,4,0,1,-1,3,-1,5.69944,10.7133,15.6597,15.6597,24.7024,24.7024,0.669116,0.207378,0.8773,0.918351,0.917568,0.944186,0.0551,0.9959,1.0,1.0,1.0,1.0,4.5338996381
9460,1,2,0,-1,-1,-1,-1,-1,5.52124,5.52124,5.52124,5.52124,5.52124,5.52124,0.976081,0.9609,0.967016,0.9609,0.950942,0.937114,0.054158860232,0.5162,0.9881,0.5162,1.0,1.0,5.752952644
